body_part;0;5;10;15;20;25;30;35;40
upper_arm_left;;;;;;;;;
shoulder_elevated_left;;;;;;;;;
arm_abducted_left;;;;;;;;;
upper_arm_right;;;;;;;;;
shoulder_elevated_right;;;;;;;;;
arm_abducted_right;;;;;;;;;
forearm_left;;;;;;;;;
crossed_midline_left;;;;;;;;;
rotated_outwards_left;;;;;;;;;
forearm_right;;;;;;;;;
crossed_midline_right;;;;;;;;;
rotated_outwards_right;;;;;;;;;
neck;;3;3;3;3;;;;
neck_rotated;;;;;;;;;
neck_tilted;;;;;;;;;
trunk;2;3;3;3;3;;;;
trunk_rotated;;;;;;;;;
trunk_sidebent;;;;;;;;;